[2026-05-29--17-30-41 INFO actix_server::builder] starting 5 workers
[2026-05-29--17-30-41 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-05-29--17-30-41 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-05-29--17-30-41 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-05-29--17-30-43 INFO txtx::svm::deploy_program] [Recovery Instructions] - An ephemeral authority account will be created and funded to write to the buffer account.
[2026-05-29--17-30-43 INFO txtx::svm::deploy_program] [Recovery Instructions] - Please save the following information in case the deployment fails and the account needs to be recovered:
[2026-05-29--17-30-43 INFO txtx::svm::deploy_program] [Recovery Instructions] - Ephemeral authority public key: 2U8cQ3RoPd9avFSgmRcG8rReRHUexiV52QHQQoF4SgUy
[2026-05-29--17-30-43 INFO txtx::svm::deploy_program] [Recovery Instructions] - Ephemeral authority secret key: [213, 76, 2, 145, 90, 235, 49, 176, 196, 51, 245, 55, 236, 109, 232, 187, 205, 146, 114, 32, 172, 141, 254, 6, 122, 168, 232, 88, 252, 5, 78, 247, 21, 206, 249, 72, 128, 174, 109, 100, 133, 234, 148, 124, 225, 192, 65, 42, 252, 8, 42, 89, 159, 189, 219, 6, 91, 57, 210, 247, 136, 123, 22, 170]
[2026-05-29--17-30-43 INFO txtx::svm::deploy_program] Account Created - Ephemeral authority account created and funded to write to buffer
[2026-05-29--17-30-43 INFO txtx::svm::deploy_program] [Recovery Instructions] - Creating program buffer account at pubkey H8vQR3CdDXUKkCQ2KFpCHn16atqHeXz47tz1NAir28CK
[2026-05-29--17-30-44 INFO txtx::svm::deploy_program] Account Created - Program buffer account created
[2026-05-29--17-31-58 INFO actix_web::middleware::logger] 127.0.0.1 "GET /scenarios.txt?_rsc=3lb4g HTTP/1.1" 200 1755 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000406
[2026-05-29--17-31-58 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 165 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000150
[2026-05-29--17-31-58 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/accounts/page-7025ac694f1ccb61.js HTTP/1.1" 200 9691 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000682
[2026-05-29--17-31-58 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/04c1a432-361751be39ffd86a.js HTTP/1.1" 200 2716 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000257
[2026-05-29--17-31-58 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/2463-ccda498047377787.js HTTP/1.1" 200 10986 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.001301
[2026-05-29--17-31-58 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/scenarios/page-9e8290cdaf6d88bd.js HTTP/1.1" 200 16049 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.001637
[2026-05-29--17-32-00 INFO actix_web::middleware::logger] 127.0.0.1 "GET /workspace/v1/indexers HTTP/1.1" 200 6 "http://127.0.0.1:18488/accounts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000620
[2026-05-29--17-32-00 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/101-indexing.png HTTP/1.1" 200 30283 "http://127.0.0.1:18488/accounts" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000343
[2026-05-29--17-32-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET /v1/scenarios HTTP/1.1" 200 6 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000138
[2026-05-29--17-32-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/pyth.svg HTTP/1.1" 200 669 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000317
[2026-05-29--17-32-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/switchboard.svg HTTP/1.1" 200 475 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000334
[2026-05-29--17-32-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/groq.svg HTTP/1.1" 200 477 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000522
[2026-05-29--17-32-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/jupiter.svg HTTP/1.1" 200 1315 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000446
[2026-05-29--17-32-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/raydium.svg HTTP/1.1" 200 931 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000397
[2026-05-29--17-32-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/whirlpool.svg HTTP/1.1" 200 1486 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000248
[2026-05-29--17-32-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/kamino.svg HTTP/1.1" 200 1002 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000274
[2026-05-29--17-32-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/meteora.svg HTTP/1.1" 200 1304 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000193
[2026-05-29--17-32-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/drift.svg HTTP/1.1" 200 190328 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.002474
[2026-05-29--17-36-48 INFO actix_server::worker] shutting down idle worker
[2026-05-29--17-36-48 INFO actix_server::worker] shutting down idle worker
[2026-05-29--17-36-48 INFO actix_server::worker] shutting down idle worker
[2026-05-29--17-36-48 INFO actix_server::worker] shutting down idle worker
[2026-05-29--17-36-48 INFO actix_server::worker] shutting down idle worker
[2026-05-29--17-36-48 INFO actix_server::accept] accept thread stopped
